ID,YEAR,VIN_1,VIN_2,VIN_3,VIN_15,VIN_16,VIN_17,ENGINE_VOLUME,FUEL_TYPE,BODY_TYPE,TYPE_OF_DRIVE,INTERIOR_TYPE,TRANSM_TYPE,AUTO_CONDITION,AVG_COST,ESTIM_COST
0,9,J,M,Y,1,0,2,3,Бензин-Газ,Внедорожник,Полный привод,КОЖА,АКПП,Удовлетворительное,5725925.926,4688000
1,10,N,M,T,1,8,0,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,2211538.462,1853000
2,17,W,A,U,8,9,7,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1260975.61,1000000
3,4,K,M,H,9,1,8,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,3287777.778,3150000
4,17,J,A,4,4,3,1,3,Бензин,Внедорожник,Полный привод,КОЖА,АКПП,Удовлетворительное,2028915.663,1603000
5,9,J,T,H,9,1,5,3,Бензин-Газ,Седан,Задний привод,КОЖА,АКПП,Удовлетворительное,5210465.116,4957000
6,13,J,H,L,4,1,6,2,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,3261445.783,2665000
7,8,J,M,Y,9,4,1,3,Бензин,Внедорожник,Полный привод,КОЖА,АКПП,Отличное,5506315.789,5363000
8,10,4,T,1,0,0,5,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3050000,2624000
9,8,K,M,H,7,8,4,2,Бензин-Газ,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Отличное,3305813.953,2937000
10,1,X,W,7,6,1,5,2.5,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,7902083.333,7161000
11,3,X,W,7,3,9,3,2,Бензин,Седан,Передний привод,КОЖА,АКПП,Отличное,5565000,5614000
12,13,1,Y,V,2,7,2,2.3,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,1697619.048,1377000
13,1,X,W,7,7,1,2,2.5,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,8708045.977,7315000
14,3,K,N,A,0,5,9,1.2,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2416867.47,2092000
15,8,1,N,4,1,0,9,2.5,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2605128.205,2300000
16,5,S,H,S,6,7,2,2.4,Бензин-Газ,Кроссовер,Полный привод,КОЖА,АКПП,Отличное,5166000,5077000
17,5,4,T,1,2,9,3,2.5,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,4561627.907,4016000
18,18,W,D,B,1,9,5,2.4,Бензин,Седан,Задний привод,КОЖА,АКПП,Удовлетворительное,1689534.884,1500000
19,6,X,W,8,5,2,9,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3087179.487,2500000
20,13,W,A,U,3,6,4,2,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2034523.81,1700000
21,14,S,B,1,8,0,3,2,Бензин,Универсал,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1849382.716,1518000
22,12,W,O,L,2,1,1,2.2,Бензин,Универсал,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1734615.385,1400000
23,14,1,N,4,1,5,9,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,1667857.143,1400000
24,10,J,F,1,5,2,7,2,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,3363095.238,2971000
